idx,ts_system,world_frame,base_frame,x,y,z,qx,qy,qz,qw,yaw_rad
200,1774840296.267886,map,base_footprint,7.737115101232559,3.7681813617827546,0.0,0.0,0.0,0.7508849608023949,0.6604330213131274,1.6988020615442347
201,1774840298.828351,map,base_footprint,7.7273825096451185,3.8048627835405955,0.0,0.0,0.0,0.7878093166306671,0.6159192159933975,1.814488183255068
202,1774840301.3793037,map,base_footprint,7.71650490810835,3.853714428121075,0.0,0.0,0.0,0.8517858152815687,0.5238901839938533,2.0387693300739573
203,1774840303.8901267,map,base_footprint,7.700517876863191,3.8868869057819615,0.0,0.0,0.0,0.8926792952550924,0.45069244038797857,2.206510903514006
204,1774840306.0924547,map,base_footprint,7.682742279829604,3.9141283604395194,0.0,0.0,0.0,0.9138524285432136,0.4060464737510607,2.3053453275066897
205,1774840308.4121928,map,base_footprint,7.662107818836417,3.9324301911075943,0.0,0.0,0.0,0.9326838455136859,0.3606949463435869,2.403566873478694
206,1774840310.6884751,map,base_footprint,7.637725466526076,3.9506397233242923,0.0,0.0,0.0,0.9492075916174957,0.31465051726592386,2.50141575778766
207,1774840312.9844165,map,base_footprint,7.618201563982377,3.974869043474262,0.0,0.0,0.0,0.9639815660806629,0.26596905883330246,2.603174553404494
208,1774840316.4199686,map,base_footprint,7.6107354120344315,3.975658353905409,0.0,0.0,0.0,0.9661317235400476,0.25804939986277237,2.619587298848147
209,1774840322.4318225,map,base_footprint,7.594100289152223,3.990800480582916,0.0,0.0,0.0,0.9776404946569056,0.21028329274338678,2.7178632083257606
210,1774840330.993261,map,base_footprint,7.586410066918778,3.984219690753039,0.0,0.0,0.0,0.9779626548380336,0.20877989784015413,2.720938258818401
211,1774840333.8757074,map,base_footprint,7.558658154232706,4.003626084517587,0.0,0.0,0.0,0.9895504253152403,0.14418722467135248,2.8522095234220353
212,1774840336.6033337,map,base_footprint,7.529287239829486,4.015888701672958,0.0,0.0,0.0,0.9980918753375413,0.06174632284751929,3.0180214014408224
213,1774840338.854393,map,base_footprint,7.498619390572654,4.019332064838192,0.0,0.0,0.0,0.9999978501102043,-0.0020735898749169516,-3.1374454708679638
214,1774840341.5276558,map,base_footprint,7.472911040435809,4.041063633450574,0.0,0.0,0.0,0.9980269985547667,-0.06278622584423875,-3.0159375517939035
215,1774840346.1758068,map,base_footprint,7.431259439783697,4.020860994453127,0.0,0.0,0.0,0.9915618746170881,-0.12963428869649457,-2.881592358949989
216,1774840349.2947464,map,base_footprint,7.413138181424382,4.0006549810966,0.0,0.0,0.0,0.9835293027637428,-0.18074874994053464,-2.778097279644927
217,1774840351.5341265,map,base_footprint,7.371979742592164,3.9985362828526188,0.0,0.0,0.0,0.9586286817281331,-0.28465953447615555,-2.564290152550448
218,1774840354.0700364,map,base_footprint,7.357607563405121,3.9724010994260115,0.0,0.0,0.0,0.9385757303669185,-0.34507332317379363,-2.4369588421494144
219,1774840356.1302748,map,base_footprint,7.326208431558085,3.9498423160142733,0.0,0.0,0.0,0.8975078496025206,-0.44099848061173547,-2.2281709071720193
220,1774840358.7239957,map,base_footprint,7.325455921195805,3.939580597730319,0.0,0.0,0.0,0.8864292091729928,-0.4628641886395432,-2.1791453812354136
221,1774840361.050112,map,base_footprint,7.310876240585951,3.918919231737466,0.0,0.0,0.0,-0.8543702507789525,0.5196647713515996,-2.0486755844609608
222,1774840363.1416967,map,base_footprint,7.300978090649055,3.8929253026312485,0.0,0.0,0.0,-0.8000561918500175,0.5999250702233139,-1.8547777538662171
223,1774840365.241508,map,base_footprint,7.299404044586512,3.86561859009171,0.0,0.0,0.0,-0.7407455194028787,0.6717857362913859,-1.6683588762406103
224,1774840367.273573,map,base_footprint,7.291387875082762,3.8435767150772664,0.0,0.0,0.0,-0.6909462746075403,0.7229061111969945,-1.525594444331048
225,1774840369.3277862,map,base_footprint,7.299595373958739,3.8258313020018497,0.0,0.0,0.0,-0.672399976133641,0.740187997805611,-1.4748928384748718
226,1774840387.7237544,map,base_footprint,7.299319823065094,3.817315429269563,0.0,0.0,0.0,-0.6935339822035044,0.7204239137681017,-1.5327659291018847
227,1774840390.1784286,map,base_footprint,7.306291948382468,3.770629308633449,0.0,0.0,0.0,-0.6847038936761631,0.728821362190147,-1.5083946804002963
228,1774840391.9304667,map,base_footprint,7.310155609294265,3.7509797866664107,0.0,0.0,0.0,-0.6561641042627027,0.7546182268386613,-1.4314484556903402
229,1774840394.7494617,map,base_footprint,7.317854099839743,3.709520054942002,0.0,0.0,0.0,-0.6249154360576437,0.7806924476238292,-1.350046418180915
230,1774840396.9264488,map,base_footprint,7.310174308797992,3.642463355166204,0.0,0.0,0.0,-0.5669727315196098,0.8237365608695492,-1.2056522852251175
231,1774840399.2285163,map,base_footprint,7.3413981626554845,3.597334562258958,0.0,0.0,0.0,-0.5448458287323299,0.838536238282509,-1.1524104922858995
232,1774840401.380224,map,base_footprint,7.364182538540591,3.5524527385711275,0.0,0.0,0.0,-0.4979189725733184,0.867223556386432,-1.0423949487441497
233,1774840403.5391495,map,base_footprint,7.390233863149195,3.4962096998673777,0.0,0.0,0.0,-0.44243911668945973,0.8967985437226416,-0.9166333178049597
234,1774840405.753399,map,base_footprint,7.4165852655466775,3.46685760885973,0.0,0.0,0.0,-0.45284970801324453,0.8915868673058835,-0.9399179491123792
235,1774840407.7218785,map,base_footprint,7.451632981719143,3.42665727081562,0.0,0.0,0.0,-0.4680484790619139,0.8837027901097909,-0.974162275758807
236,1774840409.954843,map,base_footprint,7.482956297594507,3.382628678541335,0.0,0.0,0.0,-0.4697221576507591,0.8828143035836672,-0.977952056438601
237,1774840412.0928135,map,base_footprint,7.521310273962804,3.3330855469714713,0.0,0.0,0.0,-0.483104909550647,0.8755624742804258,-1.0083948913944516
238,1774840414.1779432,map,base_footprint,7.538976242081868,3.2980924789880954,0.0,0.0,0.0,-0.47313131094086386,0.880991919717417,-0.9856834024327287
239,1774840416.1474261,map,base_footprint,7.566069443074611,3.2633817894578314,0.0,0.0,0.0,-0.5021093419756893,0.8648041447060371,-1.0520723025740837
240,1774840417.961113,map,base_footprint,7.589067782979018,3.2284410043321725,0.0,0.0,0.0,-0.5092229617753999,0.8606346351389128,-1.068563364624844
241,1774840420.0414796,map,base_footprint,7.619638519665076,3.1922630019080485,0.0,0.0,0.0,-0.5359228700765252,0.8442669467229781,-1.1312009411958603
242,1774840422.0409067,map,base_footprint,7.644652694147873,3.148920446471363,0.0,0.0,0.0,-0.5370072311829945,0.843577639377179,-1.1337707535262391
243,1774840424.3857117,map,base_footprint,7.663312425635931,3.100862352974725,0.0,0.0,0.0,-0.5569175164531275,0.8305678057014252,-1.181339730791928
244,1774840426.5116005,map,base_footprint,7.6902297652670635,3.0463813457052553,0.0,0.0,0.0,-0.6050642580255696,0.7961766409911603,-1.2996931464044523
