idx,t_sec,world_frame,base_frame,x,y,z,qx,qy,qz,qw,yaw_rad
102,1774839976.1283,map,base_footprint,9.70164410483182,-0.0114625621287443,0,0,0,0.701185570827789,0.712978818242806,1.55411796304916
103,1774839978.52984,map,base_footprint,9.69467289256083,0.0218154362292111,0,0,0,0.765237943956308,0.643747535241512,1.74282174472504
104,1774839981.38388,map,base_footprint,9.6843584027466,0.0675955261774389,0,0,0,0.847422461743565,0.530919175894481,2.0222229139496
105,1774839988.79853,map,base_footprint,9.65032440615264,0.114631673166246,0,0,0,0.92932399095303,0.369265378608843,2.38515584088325
106,1774839991.33979,map,base_footprint,9.63060928752906,0.111503185023508,0,0,0,0.946571516402292,0.322493975658253,2.48486654357551
107,1774839993.50758,map,base_footprint,9.64712114383952,0.14762391533485,0,0,0,0.957347396611253,0.288939374612837,2.55535510776214
108,1774839995.98617,map,base_footprint,9.63541539056117,0.151339218170524,0,0,0,0.971275823933891,0.237956453666509,2.66107000263758
109,1774839998.48824,map,base_footprint,9.62318142701946,0.13787389384166,0,0,0,0.983042125637567,0.183379876818516,2.77274557917773
110,1774840002.70373,map,base_footprint,9.58981078502956,0.141499086810292,0,0,0,0.991368807492241,0.131102583999755,2.87863049034176
111,1774840016.6236,map,base_footprint,9.61395376559387,0.166471508568833,0,0,0,0.991383299144987,0.130992954682311,2.87885165629985
112,1774840020.02468,map,base_footprint,9.5336755714777,0.155781558347947,0,0,0,0.996179917511388,0.08732452088047,2.9667208802017
113,1774840022.60137,map,base_footprint,9.49794910476971,0.181263760767571,0,0,0,0.997920986674053,0.0644492385950764,3.01260477483114
114,1774840024.80628,map,base_footprint,9.43447895208299,0.186358438202523,0,0,0,0.999120539959635,0.0419302591306995,3.05770754268529
115,1774840027.01006,map,base_footprint,9.36914139172234,0.19355738292537,0,0,0,0.999818234426559,0.019065626351078,3.10345909040331
116,1774840029.36132,map,base_footprint,9.32396790154055,0.184416929427366,0,0,0,0.999519897850232,-0.030983443989689,-3.07961584689355
117,1774840031.44308,map,base_footprint,9.23084662949232,0.187719796047401,0,0,0,0.996091425990574,-0.0883282008650965,-2.96470573321283
118,1774840034.43149,map,base_footprint,9.15315772843233,0.162352187162688,0,0,0,0.992588089184842,-0.121527302316736,-2.89793576325803
119,1774840036.54514,map,base_footprint,9.08618486523973,0.136485757333159,0,0,0,0.986409294308823,-0.16430673784471,-2.81148234115733
120,1774840038.8533,map,base_footprint,9.06073352190111,0.123220938560388,0,0,0,0.988624917472333,-0.150402036398525,-2.83964280874169
