idx,tx,ty,tz,qx,qy,qz,qw
28,0.127137631177902,0.0454061776399612,3.05055928230286,0.00235217511165938,-0.0230342004819428,-0.000285985667140557,0.999731869599344
29,0.150042086839676,0.0303922779858112,3.20743942260742,-0.00273238017116473,-0.081731943805189,0.000131321048349855,0.996650593846815
30,0.0774464681744576,0.0450404398143292,3.28203225135803,-0.00018985851148631,-0.0452346521895016,-3.95421442268161E-05,0.998976370406958
31,0.0959276258945465,0.0578488558530808,3.31947064399719,0.00452910810966115,0.0447647872755479,-0.000376392071420709,0.998987216799552
32,0.0660132467746735,0.0471967048943043,3.37766456604004,0.00354281768893034,0.0630561317170526,-0.00245857315443488,0.998000665387428
33,0.0704669654369354,0.0355582050979137,3.45592093467712,0.00266627633879239,0.0554446926088903,-0.00141343481882276,0.998457199500311
34,0.139749675989151,0.0911691635847092,3.64001393318176,0.00453343831678745,0.0377070068217928,-0.00108937808040159,0.99927796074414
35,0.106898956000805,0.0682611465454102,3.69811296463013,0.00369013860573712,0.0254878600265649,-0.00126433589277797,0.999667521390531
36,0.140884473919868,0.0970560759305954,3.98848128318787,0.00392818761888181,0.0227412032417322,-0.00161862574250832,0.999732357717732
37,0.150345787405968,0.0794015973806381,4.01900196075439,0.000559319553780785,0.0338544475471715,-0.00523775416136266,0.999412892389456
38,0.190106600522995,0.0865524485707283,4.18507623672485,0.0020556429214433,0.0479002993760928,-0.00536225737065107,0.998835613025362
39,0.191128268837929,0.08639345318079,4.25394201278687,0.00235512180293125,0.0683576511264899,-0.00554102978751756,0.997642712559289
40,0.157895445823669,0.0857124552130699,4.35711860656738,0.00327373775869226,0.0737362282611689,-0.00725453244642995,0.99724601931614
41,0.155342176556587,0.0586795210838318,4.42820119857788,-0.000312852710504606,0.0566827704250534,-0.00547510976843656,0.998377177640367
42,0.167845010757446,0.0380934998393059,4.41765880584717,0.000511896968874547,0.0312929051621656,-0.0044733106212531,0.999500115827953
43,0.192674472928047,0.0484827533364296,4.5872917175293,-0.00131760968575631,0.0161974423876721,-0.00435734334288833,0.999858450143722
44,0.245967522263527,0.0647300481796265,4.75136232376099,-0.000556774916059806,0.00541634849114198,-0.00262633583190868,0.999981727598466
45,0.222048565745354,0.0797723382711411,4.86757135391235,0.00100449220202892,0.0304560762218991,-0.00323694126827007,0.999530360033055
46,0.262158036231995,0.120403833687305,5.04586696624756,0.00361911275730511,0.0635773690536672,-0.00345689311903714,0.99796436311976
47,0.193317770957947,0.0892235040664673,5.02098798751831,0.00258267792960451,0.0966948445608062,-0.00362934241527751,0.995304106634603
48,0.220743462443352,0.087947815656662,5.09174013137817,0.00263385173409111,0.0948640312495428,-0.00477868773911174,0.995475284747754
49,0.24208590388298,0.0856687873601914,5.25088548660278,0.00167768501358712,0.0941415809112397,-0.00438273222486426,0.995547758660916
50,0.281079828739166,0.083043560385704,5.24674797058106,0.00217405862204716,0.0670038529451789,-0.00252662717023423,0.997747148988536
51,0.331767648458481,0.109620913863182,5.31235027313232,0.0021760789234648,0.0216335383216073,-0.00236102018680705,0.999760811536381
52,0.407928198575974,0.103092938661575,5.40672922134399,0.00157143830503612,-0.0178581461127961,9.73943327975613E-05,0.999839290943005
53,0.36275252699852,0.0975950732827187,5.69862270355225,-0.00161361112617645,0.0194033847045139,-0.000391773673335117,0.999810357735171
54,0.326491355895996,0.0921696051955223,5.70325756072998,0.00193113702214625,0.0790914034920948,-0.000562769407010275,0.996865338896908
55,0.319341480731964,0.0855237394571304,5.80455255508423,0.00253356041232316,0.115394091753329,-0.00336065919620151,0.99331087310561
56,0.345355868339539,0.0768503174185753,5.96582412719727,0.000525980456151644,0.111184182447221,0.000629507174107532,0.99379947908963
57,0.336102277040482,0.0738093182444572,5.95458936691284,0.00373911935126974,0.0916970215118993,-0.00261954432876981,0.995776487581341
58,0.374999076128006,0.0733265951275826,6.05617666244507,0.00395605489461004,0.057879074558415,0.000741352078913241,0.998315487586478
59,0.448876261711121,0.127588510513306,6.42892789840698,0.00643237142050409,0.0582280051696899,-0.00182682390893384,0.998280915737786
60,0.436875224113464,0.108055904507637,6.42144393920898,0.00677365749057535,0.0792079063945962,-0.00279009378331434,0.99683119960476
61,0.461588740348816,0.110884584486485,6.6211314201355,0.00651978081978055,0.076443012894777,-0.00217386929167803,0.997050265799039
62,0.492094844579697,0.151973217725754,6.61816644668579,0.0103494421284422,-0.000576878001148707,-0.00122477212798924,0.999945526612643
63,0.575291693210602,0.178818210959435,6.82712507247925,0.0100408341817177,-0.097487302145701,0.00154572108027491,0.995184916643952
64,0.541653752326965,0.136801451444626,6.73367595672607,0.0116589918431282,-0.0253645210909759,0.00122202055655029,0.999609531589604
65,0.458146095275879,0.16458997130394,7.00144290924072,0.0162396244553278,0.105851806794746,-0.00351792043419889,0.994243075827866
66,0.469532430171967,0.118202567100525,7.00617027282715,0.014026909239099,0.134635748271308,0.00023504664925291,0.990795844691375
67,0.481888055801392,0.102501831948757,7.09922075271606,0.0120357159395894,0.117739654817325,0.000315774536277847,0.992971507905318
68,0.508552193641663,0.125638455152512,7.18234872817993,0.0135186746985602,0.0810440300608237,-0.000645666407999761,0.996618630038986
69,0.527713477611542,0.123219966888428,7.33235645294189,0.012118959188546,0.0449722401597417,0.000975349249902612,0.998914249141057
70,0.544823169708252,0.202228903770447,7.36801671981812,0.0219667104651569,0.0130551037730098,-6.11374034395402E-05,0.999673458764928
71,0.555176317691803,0.107823565602303,7.51497220993042,0.0105341081069864,-0.0220427903459107,0.000749002131696198,0.999701248851857
72,0.531500816345215,0.117652386426926,7.67030572891235,0.0100097083231636,-0.0475874395005405,-0.000148878704430798,0.998816909736814
73,0.480702638626099,0.0935451462864876,7.76115465164185,0.00424209479513899,-0.0629137137599599,-0.000670641871492158,0.998009729157065
74,0.534828960895538,0.122067540884018,7.95376491546631,0.00535928352057105,-0.109712168984144,0.0020158816883085,0.993946907172591
75,0.378487527370453,0.137962266802788,8.07743549346924,0.00645263279055428,-0.128315352124959,0.00286143378264924,0.991708296897745
76,0.350869953632355,0.0782652050256729,8.18596935272217,0.000655460803465866,-0.122427578482049,-0.00283351707222756,0.992473188342717
77,0.260116577148438,0.162452951073647,8.25742721557617,0.00997339806317495,-0.0771812058506188,-0.00505203818058345,0.996954397003564
78,0.251947402954102,0.0616145059466362,8.3753833770752,0.00440771847401294,-0.0662388157854381,-0.00161381117731445,0.997792757497608
79,0.271131992340088,0.142140343785286,8.57366561889648,0.0062591852585511,-0.0742414704355845,-0.00414635571557884,0.997212030814782
80,0.210066050291061,0.166426450014114,8.67971420288086,0.0078964248080384,-0.0726700495316678,-0.00447369908194225,0.997314742893556
81,0.178086265921593,0.119877032935619,8.74167442321777,0.00314679546519525,-0.04154909712988,-0.00758991229717715,0.999102679126281
82,0.136012509465218,0.0818632319569588,8.81614780426025,-0.00304062247924409,0.00815604381464042,-0.00817539061543853,0.99992869573411
83,0.48269385099411,0.051236592233181,8.88933372497559,-0.00341909190576755,0.100536884717984,0.0680392065296936,0.992598262640305
84,0.518204510211945,0.0476942323148251,8.97831249237061,-0.0108684488016754,0.182912325331956,0.122192732559926,0.975445484982037
85,0.123368434607983,0.167705565690994,9.08617877960205,0.00804426343362558,0.215882325310278,-0.0192316300718563,0.976196832533899
86,0.161410719156265,0.161912158131599,9.13351249694824,0.0101069507294061,0.235744765953453,-0.0165569870807995,0.971621387707841
87,0.217832416296005,0.122782878577709,9.24727821350098,0.00990895833451204,0.256650171500988,-0.0117304499377149,0.966382376990339
88,0.242440834641457,0.183861970901489,9.3684720993042,0.0144734306557511,0.229240310070593,-0.0094009135322776,0.973216842676159
