idx,ts_system,world_frame,base_frame,x,y,z,qx,qy,qz,qw,yaw_rad,basename,original_timestamp
68,68.000000000,map3d,camera,1.132960320,-0.041715648,5.393147469,0.000085960697,0.097365618336,0.000580228111,0.995248507817,0.001194326383,000068,54.261733922
69,69.000000000,map3d,camera,1.178694487,-0.044130169,5.514681339,-0.000136588480,0.018308189337,-0.000973720787,0.999831907580,-0.001953426357,000069,55.059700597
70,70.000000000,map3d,camera,1.185368776,-0.041208312,5.631422997,-0.000546030028,-0.061628037383,-0.002012036269,0.998097008597,-0.003979351895,000070,55.857667273
71,71.000000000,map3d,camera,1.165549874,-0.038093373,5.720908642,-0.001339538730,-0.065814651196,-0.003578492127,0.997824549567,-0.007026024787,000071,56.655633948
72,72.000000000,map3d,camera,1.156044483,-0.043450411,5.779097080,-0.000799254559,-0.038338229207,-0.001972007939,0.999262554366,-0.003891272995,000072,57.453600623
73,73.000000000,map3d,camera,1.140748501,-0.041757315,5.833373070,0.001404519431,0.013119011111,-0.000915125763,0.999912536884,-0.001793858191,000073,58.251567299
74,74.000000000,map3d,camera,1.117542863,-0.046523105,5.935106754,0.002237480969,0.086386691393,-0.001486962567,0.996258060028,-0.002615258999,000074,59.049533974
75,75.000000000,map3d,camera,1.149206758,-0.043237567,6.056086540,0.002270046310,0.103587177247,-0.000952796031,0.994617331329,-0.001456294104,000075,59.847500649
76,76.000000000,map3d,camera,1.184668660,-0.049636308,6.180575848,0.002190513278,0.077960686252,-0.000790075329,0.996953714488,-0.001248972328,000076,60.645467325
77,77.000000000,map3d,camera,1.176528215,-0.048419923,6.280354023,0.003714336440,0.152092745410,0.001068462767,0.988358669151,0.003399151113,000077,61.443434000
78,78.000000000,map3d,camera,1.163036823,-0.049586527,6.359853745,0.005320961063,0.236049162175,0.001506030793,0.971725379046,0.006120986337,000078,62.241400675
79,79.000000000,map3d,camera,1.185418844,-0.051043294,6.426408291,0.005600884023,0.239177908227,0.002346469503,0.970956771641,0.008170601322,000079,63.039367351
80,80.000000000,map3d,camera,1.253212452,-0.047349475,6.529926300,0.006675286849,0.215066406572,0.001796727314,0.976574960298,0.007030884880,000080,63.837334026
81,81.000000000,map3d,camera,1.314873934,-0.046416748,6.656325340,0.005781973668,0.178378140714,0.000610903825,0.983944833053,0.003486829297,000081,64.635300701
82,82.000000000,map3d,camera,1.358202696,-0.050915495,6.752889633,0.006445541142,0.167912943224,0.000727744062,0.985780487170,0.003814453095,000082,65.433267377
83,83.000000000,map3d,camera,1.366312861,-0.050021078,6.839463711,0.006980394298,0.228009604076,0.001724794751,0.973632332879,0.007300874198,000083,66.231234052
84,84.000000000,map3d,camera,1.400831342,-0.051671512,6.902752876,0.007908423012,0.258649991547,0.001723910153,0.965937196122,0.008567618552,000084,67.029200727
85,85.000000000,map3d,camera,1.426588178,-0.057754248,6.964035034,0.006943487337,0.247362690428,0.001147822242,0.968897399043,0.006448440119,000085,67.827167403
86,86.000000000,map3d,camera,1.500935912,-0.054032262,7.065529823,0.007521308995,0.255554213194,0.000646654164,0.966765253755,0.005859868631,000086,68.625134078
87,87.000000000,map3d,camera,1.535438299,-0.058278896,7.164875031,0.007321123322,0.261301434728,0.000334934370,0.965229428261,0.005179933837,000087,69.423100753
88,88.000000000,map3d,camera,1.632227182,-0.055327199,7.286467552,0.007429054086,0.223155011243,0.000960949455,0.974754187828,0.005762963446,000088,70.221067429
89,89.000000000,map3d,camera,1.681884766,-0.062558383,7.443788528,0.004872792293,0.177134998587,0.000745259016,0.984174218703,0.003407006966,000089,71.019034104
90,90.000000000,map3d,camera,1.729234695,-0.064383693,7.557627678,0.004890408028,0.141145676858,0.001811817191,0.989975100259,0.005173970072,000090,71.817000779
91,91.000000000,map3d,camera,1.741240501,-0.063043743,7.647744179,0.003243846637,0.174160717931,0.000319444401,0.984711846046,0.001872621564,000091,72.614967455
92,92.000000000,map3d,camera,1.788876891,-0.064303562,7.767674923,0.004354085270,0.199903405356,0.000097469504,0.979805930258,0.002099598189,000092,73.412934130
93,93.000000000,map3d,camera,1.823973775,-0.071006641,7.867728233,0.003828076246,0.156730151967,0.000814294881,0.987633708528,0.002953497266,000093,74.210900805
94,94.000000000,map3d,camera,1.862209797,-0.070123747,7.978197098,0.003760018671,0.104123291340,-0.001058796340,0.994556726090,-0.001352381346,000094,75.008867481
95,95.000000000,map3d,camera,1.895305634,-0.073164448,8.104454994,0.002352199029,0.018770310166,0.000785909892,0.999820746415,0.001661011995,000095,75.806834156
96,96.000000000,map3d,camera,1.854654551,-0.072418056,8.251467705,0.003776959926,0.062983466554,0.000594333759,0.998007246608,0.001675362531,000096,76.604800831
97,97.000000000,map3d,camera,1.865314722,-0.071010806,8.370432854,0.003350464402,0.022657744677,0.001974299074,0.999735716646,0.004103604877,000097,77.402767507
98,98.000000000,map3d,camera,1.878504515,-0.068590440,8.425454140,0.003620695383,-0.024929858334,0.001288250702,0.999681815949,0.002398139001,000098,78.200734182
99,99.000000000,map3d,camera,1.914280891,-0.071219221,8.387086868,0.003541876077,0.015665764119,0.001965301541,0.999869079699,0.004043054552,000099,78.998700857
100,100.000000000,map3d,camera,1.898967385,-0.074094176,8.465914726,0.003848345815,0.157378853736,-0.000279740476,0.987530763256,0.000693126727,000100,79.796667532
101,101.000000000,map3d,camera,1.897950411,-0.076689243,8.534883499,0.004146876646,0.236664125011,-0.000692153172,0.971582428964,0.000695811376,000101,80.594634208
102,102.000000000,map3d,camera,1.902480364,-0.072158471,8.546926498,0.007536838932,0.323061930085,-0.000276521897,0.946347773772,0.005492892298,000102,81.392600883
103,103.000000000,map3d,camera,1.920824289,-0.070525274,8.589650154,0.008475693979,0.330459472618,-0.000791386562,0.943781793253,0.005255833455,000103,82.190567558
104,104.000000000,map3d,camera,1.910349607,-0.079192579,8.638750076,0.007755374772,0.346849637617,-0.000246057928,0.937888651442,0.006476613779,000104,82.988534234
105,105.000000000,map3d,camera,1.953705549,-0.080921613,8.688960075,0.006322013620,0.346501892466,0.000735835112,0.938027680406,0.007582247958,000105,83.786500909
106,106.000000000,map3d,camera,2.009959221,-0.080464661,8.729761124,0.006261968906,0.319346812167,0.002018644850,0.947615072895,0.009830097942,000106,84.584467584
107,107.000000000,map3d,camera,2.064249039,-0.079386607,8.771776199,0.007069864308,0.248957557669,0.000100192775,0.968488586128,0.004239806526,000107,85.382434260
108,108.000000000,map3d,camera,2.141315460,-0.074010625,8.864019394,0.007584894891,0.167226674832,-0.001542047067,0.985888092374,-0.000533626124,000108,86.180400935
109,109.000000000,map3d,camera,2.128379107,-0.075759515,8.878464699,0.007615958913,0.100717484722,0.000194339117,0.994885896811,0.001960585026,000109,86.978367610
110,110.000000000,map3d,camera,2.171696424,-0.079993606,8.940592766,0.006306130536,0.063735108851,0.000389770656,0.997946850637,0.001594739965,000110,87.776334286
111,111.000000000,map3d,camera,2.132373810,-0.087422915,8.986753464,0.003544909194,-0.023740710684,0.001080519143,0.999711280697,0.001994347154,000111,88.574300961
112,112.000000000,map3d,camera,2.085542917,-0.095477536,9.037778854,0.002606017981,-0.089918602681,0.002283765992,0.995943089727,0.004147429676,000112,89.372267636
113,113.000000000,map3d,camera,2.083657980,-0.080713026,9.104455948,0.004390948198,-0.168424676747,0.002069070638,0.985702575214,0.002756279521,000113,90.170234312
114,114.000000000,map3d,camera,2.127663851,-0.083506338,9.176019669,0.002391742970,-0.221195407662,-0.001781371068,0.975224947339,-0.005024195625,000114,90.968200987
115,115.000000000,map3d,camera,2.025689602,-0.088179864,9.198294640,0.001110402520,-0.301263786195,-0.000230983884,0.953540164220,-0.001355625140,000115,91.766167662
116,116.000000000,map3d,camera,2.089502335,-0.074310899,9.322545052,0.002865413029,-0.373923181298,-0.002198445190,0.927452646088,-0.008635543406,000116,92.564134338
117,117.000000000,map3d,camera,1.961484432,-0.086483113,9.340464592,0.001276502208,-0.446863685324,-0.004794177890,0.894588303712,-0.016180412615,000117,93.362101013
118,118.000000000,map3d,camera,2.009588242,-0.078424454,9.452667236,-0.000256680524,-0.513499272524,-0.004669688860,0.858077283955,-0.016398034650,000118,94.160067688
119,119.000000000,map3d,camera,1.800445795,-0.094989985,9.431829453,-0.000014424124,-0.585850772843,-0.006428988265,0.810393447568,-0.033174256008,000119,94.958034364
120,120.000000000,map3d,camera,1.932656169,-0.075286254,9.534333229,-0.000680001663,-0.617004587024,-0.005570707095,0.786939543047,-0.033224144526,000120,95.756001039
121,121.000000000,map3d,camera,1.898822308,-0.081505172,9.613975525,-0.002223093594,-0.666106228319,-0.004365147885,0.745840797982,-0.031524387295,000121,96.553967714
122,122.000000000,map3d,camera,1.824972630,-0.074004263,9.586635590,-0.002263290939,-0.704151693985,-0.005695299760,0.710023121407,-0.534592387667,000122,97.351934390
123,123.000000000,map3d,camera,1.742772341,-0.079634950,9.647066116,0.004932172911,0.768625061758,0.005651758014,-0.639655568052,3.139656737258,000123,98.149901065
124,124.000000000,map3d,camera,1.670351505,-0.071565516,9.616877556,0.002935628241,0.810623119773,0.006045689721,-0.585529665698,-3.134209592121,000124,98.947867740
125,125.000000000,map3d,camera,1.601018906,-0.057384312,9.584475517,0.002137800994,0.859230819718,0.005994836129,-0.511548521837,-3.136432333509,000125,99.745834416
126,126.000000000,map3d,camera,1.503893137,-0.066477053,9.586610794,0.004999826655,0.911318703511,0.006773068943,-0.411615534086,3.136242386363,000126,100.543801091
127,127.000000000,map3d,camera,1.371793032,-0.065539092,9.531961441,0.008092032315,0.953831067582,0.008696879463,-0.300108610035,3.129129757707,000127,101.341767766
128,128.000000000,map3d,camera,1.301895618,-0.060464509,9.492948532,0.006547190009,0.975160201721,0.007302771724,-0.221283494207,3.131019490850,000128,102.139734442
129,129.000000000,map3d,camera,1.261904240,-0.064919539,9.442863464,0.009988925323,0.987419318944,0.009926777508,-0.157495298452,3.124124599937,000129,102.937701117
130,130.000000000,map3d,camera,1.239216805,-0.063734345,9.408279419,0.009206747441,0.995013845607,0.009089301297,-0.098894223560,3.124737753294,000130,103.735667792
131,131.000000000,map3d,camera,1.186343193,-0.058717124,9.322189331,0.012472530962,0.999827814590,0.009593156115,-0.009836081511,3.116833168857,000131,104.533634468
132,132.000000000,map3d,camera,1.194434881,-0.059638157,9.256917000,0.009699386123,0.998598503438,0.010707606831,-0.050914614760,3.123214734200,000132,105.331601143
133,133.000000000,map3d,camera,1.176346183,-0.061890621,9.219904900,0.011405043691,0.999342940059,0.011432713107,-0.032448516194,3.119490801848,000133,106.129567818
134,134.000000000,map3d,camera,1.162815571,-0.065201253,9.148932457,0.011813892091,0.999862937783,0.011112774416,-0.003323228237,3.118039228788,000134,106.927534494
135,135.000000000,map3d,camera,1.172900796,-0.053343676,9.038936615,0.011812673797,0.999213888602,0.009749943468,0.036565067559,3.117205667969,000135,107.725501169
136,136.000000000,map3d,camera,1.150845766,-0.054305471,9.034922600,0.013173915567,0.999080902699,0.010044839256,0.039533517608,3.114387031266,000136,108.523467844
137,137.000000000,map3d,camera,1.169892788,-0.056182764,8.953853607,0.014050536979,0.997641188575,0.009589004932,0.066503325126,3.112017730696,000137,109.321434520
138,138.000000000,map3d,camera,1.185666561,-0.047396548,8.880757332,0.011922914308,0.995834837748,0.008333636168,0.090007613849,3.115928380270,000138,110.119401195
139,139.000000000,map3d,camera,1.196350932,-0.051124822,8.820198059,0.012549702382,0.998149235441,0.009020520200,0.058815295410,3.115294405674,000139,110.917367870
140,140.000000000,map3d,camera,1.223231435,-0.047590241,8.767970085,0.011268715817,0.999748144237,0.008925837967,0.017233500935,3.118737848217,000140,111.715334545
141,141.000000000,map3d,camera,1.239670873,-0.046621893,8.673570633,0.009748870211,0.998934199544,0.009152716834,-0.044177508819,3.122849846853,000141,112.513301221
142,142.000000000,map3d,camera,1.224095821,-0.043303128,8.576951981,0.011704210029,0.999866794927,0.007548369954,0.008510345490,3.118053361078,000142,113.311267896
143,143.000000000,map3d,camera,1.226162314,-0.047467232,8.520377159,0.010692795359,0.999886170661,0.008883793332,-0.005864133740,3.120310571077,000143,114.109234571
144,144.000000000,map3d,camera,1.251678705,-0.042889826,8.421599388,0.012134167213,0.997649125625,0.006972205256,-0.067084815559,3.118102766647,000144,114.907201247
145,145.000000000,map3d,camera,1.251552582,-0.045594476,8.357490540,0.010930912630,0.995702189669,0.006543545822,-0.091732473238,3.120671197219,000145,115.705167922
