# timestamp tx ty tz qx qy qz qw
1770106647483260498 -0.601004 0.118571 2.678192 0.013163 0.804092 -0.020552 -0.594003
1770106647794321045 -0.679292 0.126062 2.677605 0.013534 0.822323 -0.022405 -0.568418
1770106648053689941 -0.794015 0.112983 2.671193 0.015098 0.830558 -0.020907 -0.556335
1770106648366405273 -0.760895 0.114472 2.628306 0.011555 0.815530 -0.018918 -0.578291
1770106648635199463 -0.807593 0.125717 2.611203 0.012262 0.802127 -0.019643 -0.596705
1770106648899752441 -0.873638 0.124215 2.616307 0.011066 0.789311 -0.016260 -0.613678
1770106649227919922 -0.925613 0.132223 2.603873 0.010311 0.776129 -0.018356 -0.630222
1770106649508743896 -1.047586 0.137554 2.619722 0.008839 0.763899 -0.022824 -0.644872
1770106649786352783 -1.113473 0.127937 2.595290 0.004789 0.751515 -0.018129 -0.659449
1770106650133210449 -1.203398 0.121667 2.551481 0.004255 0.730523 -0.017028 -0.682662
1770106650422458496 -1.318714 0.117339 2.534197 0.006021 0.718492 -0.019177 -0.695244
1770106650770899170 -1.321777 0.117211 2.533683 0.005046 0.710706 -0.017767 -0.703247
1770106651072473145 -1.401668 0.112176 2.524505 -0.007079 -0.704480 0.020012 0.709406
1770106651372474365 -1.443145 0.113899 2.515419 -0.006648 -0.702515 0.018991 0.711384
1770106651738692139 -1.459852 0.113591 2.528403 0.006633 0.707394 -0.019060 -0.706531
1770106652049696045 -1.505283 0.114038 2.536710 0.008152 0.716096 -0.020797 -0.697644
1770106652421885010 -1.793625 0.109345 2.525236 -0.002432 -0.702369 0.015064 0.711649
1770106652743401367 -1.631949 0.111965 2.583643 0.006155 0.727813 -0.017484 -0.685525
1770106653066899170 -1.836019 0.113208 2.514365 -0.001676 -0.686692 0.014383 0.726804
1770106653458204102 -1.845380 0.096366 2.499084 -0.001597 -0.675330 0.013484 0.737391
1770106653792446533 -1.473132 0.120387 2.580534 0.005903 0.735801 -0.020071 -0.676874
1770106654127915527 -1.875275 0.084960 2.489023 -0.001274 -0.658625 0.009864 0.752406
1770106654535892822 -1.881344 0.086982 2.474766 -0.000418 -0.648813 0.010091 0.760881
1770106654881127197 -1.420917 0.107338 2.752348 0.002556 0.724812 -0.013632 -0.688807
1770106655298250977 -1.892526 0.080000 2.448978 0.002185 -0.627132 0.003694 0.778901
1770106655652095459 -1.910975 0.070686 2.448889 0.000331 -0.618680 0.004022 0.785633
1770106656009473145 -1.927970 0.067711 2.458631 0.000193 -0.611381 0.003409 0.791329
1770106656438007080 -1.918553 0.067986 2.428585 0.000218 -0.593176 0.005076 0.805057
1770106656799490723 -1.961168 0.067898 2.432037 0.000959 -0.571667 0.005304 0.820468
1770106657245000732 -1.990053 0.069178 2.439414 0.002479 -0.555355 0.004048 0.831600
1770106657621101807 -2.058325 0.059862 2.479902 -0.000235 -0.546424 0.006559 0.837483
1770106658002634521 -2.104151 0.065383 2.501908 0.000537 -0.542874 0.006344 0.839790
1770106658467503418 -2.167521 0.061941 2.513906 -0.002123 -0.539175 0.007984 0.842153
1770106658856778564 -2.177460 0.061417 2.535086 -0.003378 -0.546595 0.010188 0.837328
1770106659328631348 -2.237601 0.060762 2.569466 -0.003926 -0.567260 0.010438 0.823463
1770106659728587646 -2.327211 0.062338 2.619133 -0.007281 -0.584859 0.009753 0.811044
1770106660128119629 -2.431082 0.082291 2.689746 -0.006611 -0.609751 0.010518 0.792496
1770106660616085449 -2.532058 0.095560 2.733671 -0.007338 -0.628252 0.013510 0.777858
1770106661022728271 -2.620669 0.103292 2.789167 -0.007870 -0.652439 0.014784 0.757656
1770106661371746582 -2.727085 0.127949 2.835058 -0.005747 -0.671064 0.017868 0.741162
1770106661791020508 -2.907964 0.150851 2.894790 -0.002675 -0.692391 0.019357 0.721258
1770106662140420166 -2.992965 0.132059 2.933960 0.003941 0.711300 -0.018580 -0.702632
1770106662559066895 -2.976907 0.142410 2.926589 0.002668 0.728942 -0.019530 -0.684291
1770106662907989258 -2.978425 0.146402 2.962055 0.005078 0.747669 -0.020990 -0.663720
1770106663256973877 -2.972861 0.138218 2.984670 0.004005 0.763181 -0.017639 -0.645932
1770106663675854736 -2.982326 0.138393 3.006624 0.006895 0.777758 -0.019665 -0.628219
1770106664024983398 -3.003712 0.136443 3.030504 0.007567 0.798128 -0.016735 -0.602208
1770106664444059814 -3.033084 0.114226 3.048481 0.008131 0.811833 -0.009895 -0.583750
1770106664793369385 -3.071264 0.118307 3.017945 0.003703 0.800241 -0.006706 -0.599630
1770106665142735596 -3.109424 0.125506 2.994052 0.003732 0.785268 -0.008917 -0.619080
1770106665562019531 -3.185044 0.112892 2.959296 0.001192 0.770521 -0.004856 -0.637395
1770106665911495117 -3.258824 0.108784 2.941638 -0.000622 0.757885 -0.005137 -0.652367
1770106666330823975 -3.294001 0.110017 2.937526 -0.000418 0.744453 -0.007411 -0.667634
1770106666680198486 -3.370674 0.095240 2.953341 -0.001125 0.726941 -0.006446 -0.686669
1770106667029629639 -3.338327 0.112176 2.963955 -0.002507 0.714274 -0.008988 -0.699804
